Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Rebalance,Num Rebalances,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY Count,Avg Cash Weight
Monthly,0.05150985208036385,0.042281265388649736,0.1625924482362596,0.3373514198577301,-0.16152153762311816,0.2617685914265227,0.101010101010101,7,0.9696969696969697,2.606060606060606,0.803030303030303,0.5454545454545454
Weekly,0.0006467976540378562,0.0005332492948426637,0.20370857324849348,0.1041044538135945,-0.218286542446385,0.002442886716086215,0.712295081967213,52,1.8524590163934427,2.901639344262295,0.13114754098360656,0.19672131147540983
Quarterly,-0.008126527706619369,-0.006705051359451097,0.11356165312865865,-0.002732179130775553,-0.12100166247350563,-0.05541288625616385,0.046875,3,0.625,1.984375,0.515625,0.6875
NIFTYBEES.NS,-0.013253469867869794,-0.010940156703625914,0.1198365367881062,-0.03292604746742093,-0.11924040303922478,-0.09174873972899177,0.0,0,,,,
SENSEXBEES.BO,-0.03422981770217115,-0.028308146859949868,0.11909058446162055,-0.18388005126130927,-0.13170806264242507,-0.2149310094766469,0.0,0,,,,
