Date,Weekly,Monthly,Quarterly,NIFTYBEES.NS,SENSEXBEES.BO
2025-01-01,1.0,1.0,1.0,1.0,1.0
2025-01-02,1.0,1.0,1.0,1.016190437779427,1.0184619187647386
2025-01-03,1.0,1.0,1.0,1.0106178973722755,1.014715204161091
2025-01-06,0.9999899083399749,0.9999899083399749,0.9999899083399749,0.9958206808732722,0.9975437121885363
2025-01-07,1.0,1.0,1.0,0.9983809906935116,1.0006225525122803
2025-01-08,1.0,1.0,1.0,0.997477378969862,1.0004188118221555
2025-01-09,0.9999899083399749,0.9999899083399749,0.9999899083399749,0.9908128977934018,0.9931631146307025
2025-01-10,1.0,1.0,1.0,0.9873112874594113,0.9896767238386487
2025-01-13,1.0,1.0,1.0,0.9729281880321315,0.9841188657315689
2025-01-14,0.9999899083399749,0.9999899083399749,0.9999899083399749,0.9761663215499561,0.9802363240011714
2025-01-15,1.0,1.0,1.0,0.9773710988798731,0.9820927201841667
2025-01-16,0.9999899083399749,0.9999899083399749,0.9999899083399749,0.9816634843769049,0.9853867007280016
2025-01-17,1.0,1.0,1.0,0.9780864964627117,0.9810852780873882
2025-01-20,0.9989497851729261,1.0,1.0,0.9838096771254208,0.9864733177420004
2025-01-21,1.00435033408643,1.0,1.0,0.9710832757947307,0.971282718637285
2025-01-22,1.0144014256185578,0.9999899083399749,0.9999899083399749,0.9746225749188226,0.977825288869271
2025-01-23,1.0115511041218872,0.9999899083399749,0.9999899083399749,0.9771076220637072,0.9796590241684544
2025-01-24,1.0166515589555536,1.0,1.0,0.972137527773938,0.9754142537373705
2025-01-27,1.0042857717211453,0.9999899083399749,0.9999899083399749,0.9627245226364274,0.9651023080179251
2025-01-28,0.9989022296603742,1.0,1.0,0.9688993942561135,0.9782328393375809
2025-01-29,1.0092919841716796,1.0,1.0,0.9766181274117809,0.978923305413236
2025-01-30,1.0138150165393456,1.0,1.0,0.9797808833494028,0.9826360286911661
2025-01-31,1.0164651774902111,1.00496686277285,1.00496686277285,0.9902481404661208,0.988114642792965
2025-02-01,1.0145522441841903,1.0030755686824886,1.0049567711128249,0.9869724330630426,0.9834510605397256
2025-02-03,1.0247051601581645,1.0131136342653693,1.0049567711128249,0.9844873859181581,0.9839491163671619
2025-02-04,1.031179496403753,1.01951473243317,1.0049567711128249,0.9979667587169403,1.001528089719966
2025-02-05,1.0531038001517543,1.0411910271494442,1.00496686277285,0.9987198450898803,0.9995471968521269
2025-02-06,1.0510438044847659,1.0391543342763143,1.00496686277285,0.9954064488967009,0.9973852241779747
2025-02-07,1.052662388546163,1.0407546088182646,1.00496686277285,0.9930720420073739,0.9962872076340096
2025-02-10,1.0632489763521928,1.0407546088182646,1.00496686277285,0.9861063952246465,0.9883749666045588
2025-02-11,1.0491335035081915,1.0407441577854288,1.0049567711128249,0.9734929453594126,0.9759010482109612
2025-02-12,1.0590143681529343,1.0407441577854288,1.0049567711128249,0.9724386933802053,0.9757198993165879
2025-02-13,1.0512508749157046,1.0407546088182646,1.00496686277285,0.9720622650985832,0.974757778987433
2025-02-14,1.0493099847794263,1.0407546088182646,1.00496686277285,0.9674687139952841,0.9729127132463437
2025-02-17,1.0638712606407634,1.0566893838379339,1.00496686277285,0.9680710452078186,0.9722109167287826
2025-02-18,1.065107417777004,1.0598470269143705,1.00496686277285,0.9670544820187127,0.9705809221197239
2025-02-19,1.1190867100926467,1.1019236489542772,1.00496686277285,0.9672428110643716,0.9702639460986007
2025-02-20,1.0628538618941648,1.0539724281118261,1.0049567711128249,0.967092170808814,0.9706148443573812
2025-02-21,1.0624803811430035,1.05235691063991,1.00496686277285,0.9621220765190449,0.9638572029933645
2025-02-24,1.0505623866004896,1.0405524725153297,1.0049567711128249,0.9521066252641519,0.954756370972762
2025-02-25,1.0281413831373676,1.0183450996954055,1.0049567711128249,0.951654819402327,0.9563637737860692
2025-02-27,1.0139694008185933,1.0043081501240785,1.00496686277285,0.9509394218194884,0.9555940637051332
2025-02-28,0.9793160460064676,0.9699849776113156,1.0086515801395122,0.935464439075324,0.9412976713661977
2025-03-03,1.0024140049847827,0.9928628558139772,1.0086414254066118,0.9339583812342918,0.9360907115178986
2025-03-04,1.0210039070412231,1.0112756305290906,1.0086414254066118,0.9318498772758772,0.9354229063260552
2025-03-05,1.0294622756011822,1.0196534065001035,1.0086414254066118,0.9431077946507886,0.9446481659434414
2025-03-06,1.0140791429958536,1.0044168466616128,1.0086515801395122,0.951654819402327,0.9516662002071122
2025-03-07,1.0359455237995232,1.0260748813489644,1.0086515801395122,0.9519936737986957,0.9527642167510773
2025-03-10,1.0130102434837656,1.003358131782459,1.0086515801395122,0.9478896173473228,0.9477157449133398
2025-03-11,1.019307552949227,1.0095954395502384,1.0086414254066118,0.949132140919765,0.9487571092477755
2025-03-12,1.015496659903378,1.005820857258004,1.0086515801395122,0.9478519860096454,0.9486891956844005
2025-03-13,0.9752959541574164,0.9660031897930742,1.0086515801395122,0.945291618736982,0.9465385534521542
2025-03-17,1.0121272117897087,1.0024835137452253,1.0086414254066118,0.9495086266538111,0.9487005261263064
2025-03-18,1.0121272117897087,1.0024835137452253,1.0086414254066118,0.9495086266538111,0.9667662939527013
2025-03-19,1.0101520205132422,1.0005271423839122,1.0086515801395122,0.966527413481533,0.9662569076833591
2025-03-20,0.9904235096485963,0.9809866076940295,1.0086515801395122,0.9763922244808685,0.9781535953323001
2025-03-21,0.9658151353111651,0.9566127055935972,1.0086515801395122,0.9830565907524809,0.9837453756770371
2025-03-24,0.9534078132154807,0.9566127055935972,1.0086515801395122,0.9974020013896592,0.9974418072994438
2025-03-25,0.9564117446889914,0.9566127055935972,1.0086515801395122,0.9967619813870233,0.9961513805072597
2025-03-26,0.9566729084662187,0.9566030747689344,1.0086414254066118,0.9898715972796507,0.9890201800006508
2025-03-27,0.9638561578749618,0.9566030747689344,1.0086414254066118,0.992996779332019,0.9947591179140436
2025-03-28,0.9685579030074484,0.9566127055935973,1.0086515801395122,0.9910388007243142,0.9919858540814567
2025-04-01,0.9598250310018324,0.9605314941308131,1.0127835472639113,0.9774464764600758,0.9746219518606831
2025-04-02,0.9611150911364195,0.9605314941308131,1.0127835472639113,0.9851275208256419,0.9793987003568606
2025-04-03,0.9257865683498391,0.9605411847742626,1.0127937650696865,0.9806844950730524,0.9777800361897078
2025-04-04,0.8903587868722297,0.9605411847742626,1.0127937650696865,0.9682593742534775,0.9667097108312324
2025-04-07,0.8765861146507843,0.960531494130813,1.012783547263911,0.937911854882531,0.9363397739756468
2025-04-08,0.8748051414488228,0.960531494130813,1.012783547263911,0.9515418679368708,0.9512360579430509
2025-04-09,0.889171501598942,0.9605411847742625,1.0127937650696863,0.9451786672715258,0.9458140960507814
2025-04-11,0.9249093590044798,0.9605411847742625,1.0127937650696863,0.9637787746156347,0.9624309490744307
2025-04-15,0.9220598562317773,0.9605411847742625,1.0127937650696863,0.982228241704186,0.9813343405451366
2025-04-16,0.9407005158329803,0.9605411847742625,1.0127937650696863,0.9861440840147478,0.9827379335802586
2025-04-17,0.9442623716528435,0.9605411847742625,1.0127937650696863,1.0035769879141931,1.0047994093799892
2025-04-21,0.9625468547304662,0.9605411847742625,1.0127937650696863,1.0154750401965884,1.0156660631364003
2025-04-22,0.9842745285094652,0.9605411847742625,1.0127937650696863,1.0167927689919616,1.0168545850394917
2025-04-23,0.9544731880544258,0.9605314941308128,1.0127835472639108,1.0234572501684218,1.0224576958261347
2025-04-24,0.9558979847328071,0.9605411847742624,1.012793765069686,1.0201815427653438,1.0156207413687768
2025-04-25,0.9501988886033421,0.9605411847742624,1.012793765069686,1.0114462464205705,1.0126211450503138
2025-04-28,0.9385633661074386,0.9605314941308127,1.0127835472639106,1.023758415774689,1.024495171815443
2025-04-29,0.9503176443058889,0.9605314941308127,1.0127835472639106,1.0237961045647903,1.0228990994440414
2025-04-30,0.9390382077495057,0.9639522314497466,1.016390369629754,1.0240972701710578,1.0260572528611265
2025-05-02,0.930608364549885,0.9639424809875103,1.0163800887511034,1.0232689211227628,1.0276080034649044
2025-05-05,0.930608364549885,0.9639424809875103,1.0163800887511034,1.0331338470269462,1.0317848603326134
2025-05-06,0.9306177778311694,0.9639522314497467,1.016390369629754,1.0263941031751311,1.0294077474383703
2025-05-07,0.9306083645498852,0.9639424809875105,1.0163800887511034,1.0271095007579698,1.0297020625756816
2025-05-08,0.9306177778311695,0.9639522314497468,1.016390369629754,1.0205203971617123,1.0263289071146262
2025-05-09,0.9306177778311695,0.9639522314497468,1.016390369629754,1.0109190629785427,1.016062214074744
2025-05-12,0.9306083645498853,0.9639424809875106,1.0163800887511034,1.0502654704152765,1.0529068075989405
2025-05-13,0.9306083645498853,0.9639424809875106,1.0163800887511034,1.037877923480955,1.0396178573567834
